Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points),Result
Kinguin,6,Heroic,16,d2,,354,110,loss
Astralis,16,MIBR,0,d2,65.6,1000,410,win
Natus Vincere,16,fnatic,9,mrg,63.3,569,197,win
TYLOO,4,FaZe,16,mrg,75.4,99,444,loss
Vega Squadron,11,NiP,16,trn,59,117,354,loss
BIG,16,HellRaisers,9,trn,53.7,262,161,win
FaZe,16,mousesports,8,mrg,62.8,444,305,win
Astralis,15,Liquid,19,inf,72.5,1000,510,loss
G2,4,MIBR,16,inf,50.8,67,410,loss
Natus Vincere,16,NiP,6,trn,64.8,569,354,win
TYLOO,10,HellRaisers,16,ovp,65.8,99,161,loss
Vega Squadron,14,fnatic,16,inf,47.6,117,197,loss
mousesports,6,MIBR,16,d2,55,305,410,loss
Natus Vincere,16,FaZe,12,ovp,64.3,569,444,win
NiP,10,Liquid,16,mrg,55.7,354,510,loss
Vega Squadron,4,Astralis,16,inf,47.6,117,1000,loss
BIG,16,TYLOO,7,trn,53.7,262,99,win
Natus Vincere,14,Astralis,16,inf,53.7,569,1000,loss
mousesports,12,NiP,16,mrg,61.8,305,354,loss
MIBR,13,TYLOO,16,inf,69.7,410,99,loss
FaZe,5,BIG,16,d2,54.3,444,262,loss
G2,22,HellRaisers,20,d2,59.8,67,161,win
BIG,16,Gambit,8,nuke,55,262,161,win
HellRaisers,25,OpTic,23,trn,49,161,151,win
TYLOO,16,Renegades,10,inf,59,99,105,win
North,16,Virtus.pro,6,mrg,59.3,226,72,win
TYLOO,26,OpTic,28,inf,59,99,151,loss
Gambit,14,HellRaisers,16,ovp,,99,161,loss
Astralis,26,NiP,28,mrg,69.1,1000,354,loss
OpTic,16,Virtus.pro,13,mrg,59.5,151,72,win
Renegades,10,Gambit,16,trn,53.8,105,72,loss
Liquid,16,HellRaisers,9,inf,63.7,510,161,win
NiP,16,TYLOO,12,trn,68.3,354,99,win
Liquid,16,OpTic,4,mrg,56.7,510,151,win
North,17,HellRaisers,19,ovp,57.8,226,161,loss
BIG,16,Renegades,6,ovp,54.2,262,105,win
Gambit,17,TYLOO,19,inf,,262,99,loss
Virtus.pro,5,NiP,16,mrg,60,72,354,loss
MIBR,16,HellRaisers,11,d2,69.2,410,161,win
fnatic,6,OpTic,16,trn,58,197,151,loss
mousesports,16,Gambit,7,nuke,57.4,305,151,win
NRG,13,NiP,16,trn,54.3,367,354,loss
North,16,TYLOO,7,inf,57,226,99,win
OpTic,16,ENCE,13,trn,52.1,151,192,win
fnatic,16,North,14,inf,67.2,197,226,win
Renegades,13,MIBR,16,cch,62.5,105,410,loss
mousesports,16,Gambit,8,d2,55,305,410,win
NiP,3,Cloud9,16,inf,60.3,354,85,loss
AGO,22,Red Reserve,20,trn,,354,85,win
Virtus.pro,16,Gambit,11,trn,52.1,72,85,win
NRG,16,FaZe,8,cch,45.1,367,444,win
Astralis,16,Liquid,6,inf,72.5,1000,510,win
fnatic,14,Liquid,16,cch,62.6,197,510,loss
Astralis,16,Cloud9,13,inf,72.5,1000,85,win
Gambit,8,GODSENT,16,trn,,1000,85,loss
GODSENT,16,AGO,11,ovp,,1000,85,win
SK,19,NiP,16,inf,,1000,354,win
Space Soldiers,16,Renegades,7,inf,,1000,105,win
Cloud9,3,FaZe,16,cch,61.6,85,444,loss
Virtus.pro,10,NiP,16,mrg,60,72,354,loss
NiP,12,G2,16,inf,60.3,354,67,loss
G2,16,NiP,10,mrg,46.8,67,354,win
Liquid,19,SK,22,inf,63.7,510,354,loss
SK,16,Liquid,12,trn,,510,510,win
GODSENT,13,FaZe,16,cch,,510,444,loss
FaZe,14,GODSENT,16,mrg,62.8,444,444,loss
NiP,12,FaZe,16,inf,60.3,354,444,loss
GODSENT,16,fnatic,14,ovp,,354,197,win
Gambit,10,Astralis,16,trn,,354,1000,loss
FaZe,18,NiP,22,ovp,61.2,444,354,loss
fnatic,16,GODSENT,14,mrg,61.4,197,354,win
Astralis,16,Gambit,6,ovp,66.7,1000,354,win
Gambit,19,mousesports,17,trn,,1000,305,win
mousesports,14,Gambit,16,mrg,61.8,305,305,loss
mousesports,16,G2,11,inf,48.8,305,67,win
G2,16,mousesports,7,cch,55.9,67,305,win
NRG,17,Astralis,19,ovp,62.1,367,1000,loss
Renegades,3,SK,16,cch,62.5,105,1000,loss
SK,19,Renegades,15,trn,,105,105,win
Astralis,11,NiP,16,ovp,66.7,1000,354,loss
North,11,HellRaisers,16,trn,58.6,226,161,loss
Envy,13,mousesports,16,ovp,,226,305,loss
G2,16,Natus Vincere,9,cbl,55.7,67,569,win
Space Soldiers,8,FaZe,16,trn,,67,444,loss
HellRaisers,16,North,19,cbl,56.2,161,226,loss
GODSENT,16,Virtus.pro,5,trn,,161,72,win
Natus Vincere,16,G2,13,mrg,63.3,569,67,win
NiP,16,Astralis,8,mrg,55.7,354,1000,win
mousesports,16,Envy,11,cbl,51.1,305,1000,win
FaZe,16,Space Soldiers,5,inf,62.3,444,1000,win
fnatic,9,G2,16,mrg,61.4,197,67,loss
G2,16,fnatic,10,ovp,51.8,67,197,win
fnatic,13,Natus Vincere,16,cbl,65.2,197,569,loss
NiP,16,mousesports,9,trn,68.3,354,305,win
Natus Vincere,25,fnatic,22,trn,64.8,569,197,win
mousesports,17,NiP,19,inf,48.8,305,354,loss
Envy,16,Astralis,14,trn,,305,1000,win
Astralis,16,Envy,3,inf,72.5,1000,1000,win
G2,16,FaZe,11,ovp,51.8,67,444,win
FaZe,19,G2,16,mrg,62.8,444,67,win
G2,20,Astralis,22,mrg,46.8,67,1000,loss
Space Soldiers,11,mousesports,16,inf,,67,305,loss
mousesports,16,Space Soldiers,14,mrg,61.8,305,305,win
Astralis,16,G2,10,inf,72.5,1000,67,win
Heroic,16,Envy,13,cbl,53.4,110,67,win
Envy,14,Heroic,16,trn,,110,110,loss
Gambit,16,Space Soldiers,7,trn,,110,110,win
Astralis,16,Space Soldiers,2,inf,72.5,1000,110,win
Liquid,16,Gambit,7,cbl,64,510,110,win
Natus Vincere,16,Renegades,4,inf,53.7,569,105,win
Cloud9,22,G2,20,mrg,62.4,85,67,win
SK,13,NiP,16,trn,,85,354,loss
Cloud9,19,Renegades,17,mrg,62.4,85,105,win
Renegades,9,Cloud9,16,inf,59.1,105,85,loss
mousesports,16,Virtus.pro,3,inf,48.8,305,72,win
Virtus.pro,10,mousesports,16,trn,52.1,72,305,loss
NiP,16,North,6,inf,60.3,354,226,win
North,19,NiP,15,nuke,58.3,226,354,win
Renegades,9,Cloud9,16,inf,59.1,105,85,loss
Cloud9,17,Renegades,19,trn,67.6,85,105,loss
HellRaisers,8,Space Soldiers,16,inf,54.8,161,105,loss
Space Soldiers,16,HellRaisers,6,cbl,,161,161,win
Astralis,11,Natus Vincere,16,inf,72.5,1000,569,loss
Natus Vincere,19,Astralis,16,trn,64.8,569,1000,win
Gambit,5,FaZe,16,nuke,,569,444,loss
FaZe,16,Gambit,2,mrg,62.8,444,444,win
G2,10,HellRaisers,16,inf,50.8,67,161,loss
FaZe,5,fnatic,16,ovp,61.2,444,197,loss
fnatic,9,FaZe,16,inf,67.2,197,444,loss
HellRaisers,7,G2,16,mrg,50,161,67,loss
Renegades,19,NRG,17,inf,59.1,105,367,win
NRG,5,Renegades,16,trn,54.3,367,105,loss
Gambit,10,G2,16,mrg,,367,67,loss
G2,16,Gambit,6,cch,55.9,67,67,win
mousesports,16,Natus Vincere,11,nuke,57.4,305,569,win
fnatic,8,Heroic,16,cbl,65.2,197,110,loss
Virtus.pro,16,G2,10,nuke,58.8,72,67,win
Natus Vincere,16,mousesports,5,inf,53.7,569,305,win
Heroic,5,fnatic,16,trn,49.6,110,197,loss
G2,16,Virtus.pro,2,cch,55.9,67,72,win
HellRaisers,12,FaZe,16,cch,60,161,444,loss
Astralis,16,Space Soldiers,4,inf,72.5,1000,444,win
Space Soldiers,14,Astralis,16,mrg,,1000,1000,loss
FaZe,16,HellRaisers,7,mrg,62.8,444,161,win
Astralis,16,mousesports,7,ovp,66.7,1000,305,win
mousesports,16,Astralis,14,mrg,61.8,305,1000,win
Gambit,9,Virtus.pro,16,trn,,305,72,loss
Virtus.pro,9,Gambit,16,cbl,57.3,72,72,loss
fnatic,16,Virtus.pro,11,mrg,61.4,197,72,win
Virtus.pro,4,fnatic,16,cbl,57.3,72,197,loss
fnatic,16,mousesports,13,cbl,65.2,197,305,win
mousesports,16,fnatic,8,ovp,52.8,305,197,win
fnatic,9,FaZe,16,mrg,61.4,197,444,loss
FaZe,7,fnatic,16,ovp,61.2,444,197,loss
Renegades,8,Liquid,16,cch,62.5,105,510,loss
Liquid,19,Renegades,15,cbl,64,510,105,win
Liquid,16,Cloud9,13,mrg,56.7,510,85,win
Cloud9,16,Liquid,13,inf,53.4,85,510,win
FaZe,14,NiP,16,ovp,61.2,444,354,loss
NiP,16,FaZe,8,trn,68.3,354,444,win
Space Soldiers,16,North,13,cbl,,354,226,win
Astralis,16,fnatic,9,ovp,66.7,1000,197,win
Gambit,4,NiP,16,trn,,1000,354,loss
fnatic,9,Astralis,16,inf,67.2,197,1000,loss
North,9,Space Soldiers,16,inf,57,226,1000,loss
NiP,16,Gambit,7,nuke,77.2,354,1000,win
Liquid,16,NRG,7,mrg,56.7,510,367,win
NRG,22,Liquid,20,trn,54.3,367,510,win
NRG,8,Cloud9,16,trn,54.3,367,85,loss
Cloud9,14,NRG,16,inf,53.4,85,367,loss
Space Soldiers,16,fnatic,14,cbl,,85,197,win
fnatic,16,Space Soldiers,11,mrg,61.4,197,197,win
Heroic,14,Natus Vincere,16,cch,25,110,569,loss
FaZe,5,North,16,ovp,61.2,444,226,loss
Natus Vincere,7,Heroic,16,trn,64.8,569,110,loss
North,8,FaZe,16,trn,58.6,226,444,loss
NRG,19,SK,16,inf,66,367,444,win
SK,14,NRG,16,mrg,,367,367,loss
Cloud9,25,SK,22,inf,53.4,85,367,win
SK,6,Cloud9,16,cch,,85,85,loss
North,16,G2,13,ovp,57.8,226,67,win
G2,12,North,16,mrg,46.8,67,226,loss
NiP,16,Natus Vincere,7,inf,60.3,354,569,win
Gambit,16,fnatic,8,ovp,,354,197,win
Natus Vincere,12,NiP,16,ovp,64.3,569,354,loss
fnatic,16,Gambit,8,cbl,65.2,197,354,win
HellRaisers,16,mousesports,7,cbl,56.2,161,305,win
mousesports,16,HellRaisers,4,mrg,61.8,305,161,win
NiP,11,Astralis,16,inf,60.3,354,1000,loss
Astralis,19,NiP,17,mrg,69.1,1000,354,win
fnatic,16,NiP,13,mrg,61.4,197,354,win
NiP,7,fnatic,16,ovp,57,354,197,loss
HellRaisers,16,FaZe,8,cch,60,161,444,win
FaZe,16,HellRaisers,10,inf,62.3,444,161,win
mousesports,13,Virtus.pro,16,trn,54.6,305,72,loss
Virtus.pro,1,mousesports,16,nuke,58.8,72,305,loss
North,16,fnatic,11,trn,58.6,226,197,win
fnatic,9,North,16,cbl,65.2,197,226,loss
fnatic,7,Astralis,16,inf,67.2,197,1000,loss
Astralis,16,fnatic,1,trn,63.6,1000,197,win
HellRaisers,16,NiP,9,cbl,56.2,161,354,win
NiP,16,HellRaisers,2,inf,60.3,354,161,win
G2,16,Heroic,14,ovp,51.8,67,110,win
Heroic,10,G2,16,inf,44,110,67,loss
HellRaisers,6,Astralis,16,mrg,50,161,1000,loss
Astralis,16,HellRaisers,19,ovp,66.7,1000,161,loss
NiP,16,Heroic,19,trn,68.3,354,110,loss
Heroic,6,NiP,16,inf,44,110,354,loss
Renegades,9,Liquid,16,cbl,56.9,105,510,loss
Liquid,16,Renegades,12,mrg,56.7,510,105,win
mousesports,14,Heroic,16,cbl,51.1,305,110,loss
FaZe,11,Astralis,16,mrg,62.8,444,1000,loss
Heroic,5,mousesports,16,inf,44,110,305,loss
Astralis,19,FaZe,15,inf,72.5,1000,444,win
NiP,16,G2,12,inf,60.3,354,67,win
mousesports,2,FaZe,16,mrg,61.8,305,444,loss
G2,11,NiP,16,mrg,46.8,67,354,loss
FaZe,16,mousesports,10,inf,62.3,444,305,win
Astralis,16,North,11,nuke,76,1000,226,win
North,4,Astralis,16,inf,57,226,1000,loss
NiP,16,mousesports,12,trn,68.3,354,305,win
mousesports,16,NiP,8,mrg,61.8,305,354,win
Heroic,8,FaZe,16,trn,49.6,110,444,loss
NiP,7,Virtus.pro,16,trn,68.3,354,72,loss
FaZe,16,Heroic,9,mrg,62.8,444,110,win
mousesports,4,G2,16,nuke,57.4,305,67,loss
G2,17,mousesports,19,inf,50.8,67,305,loss
Cloud9,8,fnatic,16,mrg,62.4,85,197,loss
G2,16,Astralis,14,inf,50.8,67,1000,win
Virtus.pro,22,FaZe,20,trn,52.1,72,444,win
Astralis,16,G2,12,mrg,69.1,1000,67,win
FaZe,16,Virtus.pro,8,inf,62.3,444,72,win
North,6,Heroic,16,inf,57,226,110,loss
Virtus.pro,12,Astralis,16,cch,52.2,72,1000,loss
Heroic,16,North,11,nuke,66.3,110,226,win
Astralis,16,Virtus.pro,8,inf,72.5,1000,72,win
FaZe,12,mousesports,16,inf,62.3,444,305,loss
mousesports,16,FaZe,10,mrg,61.8,305,444,win
Liquid,19,Cloud9,16,inf,63.7,510,85,win
Cloud9,7,Liquid,16,mrg,62.4,85,510,loss
G2,14,Space Soldiers,16,cch,55.9,67,510,loss
Space Soldiers,16,G2,5,cbl,,67,67,win
NiP,16,AGO,10,cch,60.1,354,67,win
AGO,12,NiP,16,trn,,354,354,loss
Heroic,19,HellRaisers,15,mrg,55,110,161,win
HellRaisers,16,Heroic,4,inf,54.8,161,110,win
AGO,12,Natus Vincere,16,mrg,,161,569,loss
Natus Vincere,16,AGO,9,ovp,64.3,569,569,win
Space Soldiers,8,Natus Vincere,16,mrg,,569,569,loss
Natus Vincere,6,Space Soldiers,16,inf,53.7,569,569,loss
mousesports,13,North,16,trn,54.6,305,226,loss
North,8,mousesports,16,inf,57,226,305,loss
G2,16,Virtus.pro,12,nuke,61.2,67,72,win
Heroic,9,fnatic,16,cbl,53.4,110,197,loss
NiP,10,North,16,inf,60.3,354,226,loss
Liquid,16,Gambit,10,mrg,56.7,510,226,win
Renegades,13,Astralis,16,trn,53.8,105,1000,loss
Space Soldiers,10,NiP,16,cch,,105,354,loss
fnatic,16,G2,10,inf,67.2,197,67,win
NiP,19,Space Soldiers,15,trn,68.3,354,67,win
G2,10,fnatic,16,cch,55.9,67,197,loss
North,16,Natus Vincere,10,inf,57,226,569,win
Heroic,16,Astralis,14,mrg,55,110,1000,win
Natus Vincere,16,North,8,trn,64.8,569,226,win
Astralis,10,Heroic,16,nuke,76,1000,110,loss
NiP,14,fnatic,16,inf,60.3,354,197,loss
FaZe,16,AGO,11,cch,54.6,444,197,win
fnatic,16,NiP,10,cbl,65.2,197,354,win
AGO,7,FaZe,16,trn,,197,444,loss
AGO,8,G2,16,cbl,,197,67,loss
G2,16,AGO,12,cch,55.9,67,67,win
Astralis,16,mousesports,14,inf,72.5,1000,305,win
fnatic,11,HellRaisers,16,inf,67.2,197,161,loss
HellRaisers,22,fnatic,19,ovp,55.6,161,197,win
mousesports,16,Astralis,9,mrg,61.8,305,1000,win
FaZe,23,Natus Vincere,25,mrg,62.8,444,569,loss
Heroic,5,Space Soldiers,16,trn,49.6,110,569,loss
Natus Vincere,16,FaZe,6,inf,53.7,569,444,win
Space Soldiers,16,Heroic,1,cbl,,569,110,win
SK,7,Cloud9,16,trn,,569,85,loss
Cloud9,13,SK,16,inf,53.4,85,85,loss
Astralis,22,FaZe,20,trn,63.6,1000,444,win
FaZe,14,Astralis,16,inf,62.3,444,1000,loss
HellRaisers,16,Natus Vincere,14,ovp,55.6,161,569,win
mousesports,16,fnatic,11,ovp,52.8,305,197,win
Natus Vincere,16,HellRaisers,6,inf,53.7,569,161,win
fnatic,7,mousesports,16,mrg,61.4,197,305,loss
FaZe,16,G2,13,ovp,61.2,444,67,win
G2,11,FaZe,16,cch,55.9,67,444,loss
Cloud9,16,SK,2,inf,53.4,85,444,win
mousesports,16,Space Soldiers,13,mrg,61.8,305,444,win
Vega Squadron,4,Cloud9,16,mrg,60.9,117,85,loss
fnatic,16,Gambit,2,mrg,61.4,197,85,win
fnatic,7,Natus Vincere,16,inf,67.2,197,569,loss
Gambit,10,SK,16,ovp,,197,569,loss
Liquid,12,Vega Squadron,16,inf,63.7,510,117,loss
Astralis,6,Cloud9,16,trn,63.6,1000,85,loss
Space Soldiers,13,Gambit,16,trn,,1000,85,loss
Virtus.pro,7,Cloud9,16,mrg,60,72,85,loss
SK,12,FaZe,16,cch,,72,444,loss
fnatic,16,Astralis,8,mrg,61.4,197,1000,win
Liquid,9,Natus Vincere,16,ovp,56.5,510,569,loss
mousesports,16,Vega Squadron,3,mrg,61.8,305,117,win
Astralis,16,North,14,trn,63.6,1000,226,win
Virtus.pro,6,fnatic,16,inf,47.3,72,197,loss
SK,16,mousesports,12,mrg,,72,305,win
G2,16,Liquid,8,inf,50.8,67,510,win
FaZe,16,Vega Squadron,3,trn,57.5,444,117,win
Space Soldiers,16,Cloud9,13,cbl,,444,85,win
SK,16,Space Soldiers,13,mrg,,444,85,win
Gambit,16,Natus Vincere,5,nuke,,444,569,win
Cloud9,8,G2,16,cch,61.6,85,67,loss
Astralis,2,mousesports,16,cch,58.5,1000,305,loss
fnatic,8,FaZe,16,cch,62.6,197,444,loss
North,10,Vega Squadron,16,ovp,57.8,226,117,loss
Natus Vincere,16,Liquid,5,inf,53.7,569,510,win
mousesports,16,Renegades,4,mrg,61.8,305,105,win
FaZe,16,Natus Vincere,4,trn,57.5,444,569,win
mousesports,5,Cloud9,16,trn,54.6,305,85,loss
Renegades,14,Liquid,16,cbl,56.9,105,510,loss
Misfits,5,G2,16,cbl,,105,67,loss
Envy,6,Renegades,16,cch,,105,105,loss
mousesports,16,Natus Vincere,2,mrg,61.8,305,569,win
Cloud9,16,Envy,11,cch,61.6,85,569,win
FaZe,16,Liquid,14,ovp,61.2,444,510,win
Astralis,16,FaZe,13,ovp,66.7,1000,444,win
FaZe,16,Liquid,12,mrg,62.8,444,510,win
Cloud9,11,Astralis,16,trn,67.6,85,1000,loss
fnatic,16,OpTic,2,cbl,65.2,197,151,win
OpTic,16,mousesports,4,mrg,59.5,151,305,win
North,15,NiP,19,inf,57,226,354,loss
SK,16,NiP,9,ovp,,226,354,win
North,16,OpTic,11,ovp,57.8,226,151,win
fnatic,16,Astralis,7,inf,67.2,197,1000,win
fnatic,22,Liquid,18,mrg,61.4,197,510,win
FaZe,16,Astralis,5,mrg,62.8,444,1000,win
SK,14,OpTic,16,mrg,,444,151,loss
NiP,16,OpTic,14,cbl,57.8,354,151,win
North,7,SK,16,ovp,57.8,226,151,loss
FaZe,16,Liquid,14,mrg,62.8,444,510,win
Astralis,20,Liquid,22,mrg,69.1,1000,510,loss
fnatic,19,FaZe,15,inf,67.2,197,444,win
mousesports,12,Envy,16,trn,54.6,305,444,loss
Gambit,31,Natus Vincere,28,inf,,305,569,win
Heroic,11,Natus Vincere,16,ovp,53.9,110,569,loss
Astralis,16,FaZe,14,inf,72.5,1000,444,win
North,12,SK,16,mrg,59.3,226,444,loss
G2,16,NiP,7,cbl,55.7,67,354,win
SK,8,FaZe,16,mrg,,67,444,loss
Astralis,16,G2,4,ovp,66.7,1000,67,win
NiP,16,North,2,trn,68.3,354,226,win
Astralis,15,North,15,ovp,66.7,1000,226,loss
G2,8,FaZe,16,mrg,46.8,67,444,loss
NiP,4,SK,16,trn,68.3,354,444,loss
FaZe,13,North,16,trn,57.5,444,226,loss
Astralis,16,NiP,5,ovp,66.7,1000,354,win
SK,16,G2,8,cbl,,1000,67,win
North,15,G2,15,mrg,59.3,226,67,loss
FaZe,15,NiP,15,trn,57.5,444,354,loss
Astralis,16,SK,3,inf,72.5,1000,354,win
Envy,15,Virtus.pro,15,trn,,1000,72,loss
BIG,12,Space Soldiers,16,cch,54,262,72,loss
Envy,11,mousesports,16,nuke,,262,305,loss
mousesports,16,Envy,1,cbl,51.1,305,305,win
Heroic,16,Envy,11,inf,44,110,305,win
Virtus.pro,16,FaZe,7,cbl,57.3,72,444,win
FaZe,16,Virtus.pro,8,trn,57.5,444,72,win
Envy,9,Heroic,16,nuke,,444,110,loss
Liquid,11,Cloud9,16,cch,66.9,510,85,loss
Cloud9,19,Liquid,15,mrg,62.4,85,510,win
NiP,16,Astralis,14,nuke,77.2,354,1000,win
Astralis,14,NiP,16,trn,63.6,1000,354,loss
Cloud9,12,Renegades,16,trn,67.6,85,105,loss
Renegades,12,Cloud9,16,cbl,56.9,105,85,loss
Virtus.pro,14,fnatic,16,cch,52.2,72,197,loss
fnatic,16,Virtus.pro,4,mrg,61.4,197,72,win
Virtus.pro,17,NiP,19,cbl,57.3,72,354,loss
NiP,16,Virtus.pro,9,cch,60.1,354,72,win
G2,14,OpTic,16,ovp,51.8,67,151,loss
Renegades,9,Gambit,16,inf,59.1,105,151,loss
Liquid,5,FaZe,16,inf,63.7,510,444,loss
G2,16,Liquid,9,cch,55.9,67,510,win
OpTic,6,Renegades,16,mrg,59.5,151,105,loss
OpTic,16,Liquid,10,mrg,59.5,151,510,win
FaZe,3,Gambit,16,mrg,62.8,444,510,loss
Envy,11,NiP,16,nuke,,444,354,loss
Cloud9,16,SK,7,trn,67.6,85,354,win
Envy,16,Cloud9,8,cbl,,85,85,win
SK,21,Astralis,25,ovp,,85,1000,loss
